Date,Open,High,Low,Close,Adj Close,Volume
10/6/2020,139.419998,140.770004,138.809998,139.610001,128.071335,6042900
10/7/2020,140.080002,141.389999,139.369995,140.699997,129.071228,4640900
10/8/2020,140.559998,141.929993,140.360001,141.649994,129.942719,4569800
10/9/2020,141.839996,143.639999,141.699997,142.919998,131.107742,6551700
10/12/2020,143.330002,145.330002,143.330002,144.490005,132.548004,5791500
10/13/2020,143.820007,144.839996,143.460007,144.210007,132.291138,4509400
10/14/2020,144.179993,145.100006,143.080002,144.039993,132.135193,3860700
10/15/2020,143.059998,144.389999,142.889999,143.830002,131.942581,4997100
10/16/2020,144.419998,145.869995,143.919998,144.389999,132.456238,6806100
10/19/2020,144.470001,145.389999,141.130005,141.910004,130.181213,6427600
10/20/2020,145.610001,145.690002,141.899994,142.479996,130.704163,7582100
10/21/2020,142.490005,144.339996,142.470001,143.25,131.410492,5649700
10/22/2020,141.490005,142.75,141.080002,141.449997,130.479736,4502900
10/23/2020,141.759995,142.880005,141.759995,142.380005,131.337646,4278100
10/26/2020,141.5,142.050003,140.009995,141.300003,130.3414,5315500
10/27/2020,141.940002,143.339996,141.649994,142.360001,131.319138,6806700
10/28/2020,140.449997,140.940002,137.309998,137.660004,126.983665,8192200
10/29/2020,137.350006,139.089996,135.800003,137.570007,126.90065,5476900
10/30/2020,137.179993,137.990005,134.679993,137.100006,126.467094,6422000
11/2/2020,138.509995,140,137.440002,138.5,127.75853,6682800
11/3/2020,139.320007,142.660004,139.320007,141.220001,130.267593,6244200
11/4/2020,140.460007,143,140.270004,140.639999,129.732544,5820600
11/5/2020,142.440002,143.529999,141.779999,142.380005,131.337646,5673100
11/6/2020,142.669998,144.070007,142.380005,143.229996,132.121674,4702300
11/9/2020,146.149994,146.919998,137.600006,137.990005,127.288094,12664700
11/10/2020,138.100006,140.619995,137.149994,140.259995,129.38205,7854000
11/11/2020,141.850006,143,140.649994,142.070007,131.051666,5554300
11/12/2020,142.289993,142.550003,141.070007,142.149994,131.125443,5631700
11/13/2020,142.210007,144.479996,141.880005,144.279999,133.09024,6466800
11/16/2020,144.779999,144.779999,141.259995,142.429993,131.383743,7976600
11/17/2020,141.889999,143.470001,141.75,141.880005,130.876389,6396800
11/18/2020,141.990005,142.100006,139.660004,139.699997,128.865494,6097100
11/19/2020,139.869995,140.119995,138.449997,139.529999,128.708664,5284100
11/20/2020,139.529999,140.350006,138.630005,139.300003,128.496475,4726900
11/23/2020,139.320007,139.949997,137.860001,138.759995,127.998367,4770600
11/24/2020,138.830002,139.839996,138.070007,138.309998,127.583237,7101800
11/25/2020,138.160004,139.389999,138.039993,138.679993,127.924553,8411300
11/27/2020,138.589996,138.889999,137.529999,138.610001,127.859985,4252200
11/30/2020,138,139.199997,136.740005,138.869995,128.099823,11640400
12/1/2020,139.160004,139.539993,138.160004,139.369995,128.56105,7169700
12/2/2020,139.369995,139.940002,137.490005,138.360001,127.629395,6963000
12/3/2020,138.089996,138.350006,135.539993,137.339996,126.688492,8742500
12/4/2020,137.210007,137.860001,135.869995,137.470001,126.808372,6617200
12/7/2020,136.610001,137.740005,136.559998,137.679993,127.002113,6918000
12/8/2020,137.020004,138.779999,136.429993,138.050003,127.343399,6493500
12/9/2020,137.830002,138.039993,136.25,136.410004,125.830627,6773400
12/10/2020,136.520004,136.919998,135.039993,135.509995,125.00042,6800500
12/11/2020,134.460007,136.800003,134.199997,136.509995,125.922844,6548000
12/14/2020,137.020004,137.929993,135.770004,135.850006,125.314034,6485300
12/15/2020,136.389999,137.539993,136.240005,136.649994,126.051987,5397000
12/16/2020,136.710007,138.270004,136.710007,137.270004,126.623932,5382500
12/17/2020,138.009995,139.119995,137.949997,138.25,127.527924,7405300
12/18/2020,138.259995,140.070007,137.449997,139.039993,128.256653,19988800
12/21/2020,137.960007,138.429993,136.220001,137.520004,126.854523,6732400
12/22/2020,137.289993,138.070007,136.380005,136.550003,125.95974,5023100
12/23/2020,137.389999,137.550003,136.130005,136.339996,125.766037,6004200
12/24/2020,136.199997,138.130005,136.199997,137.720001,127.039024,2588200
12/28/2020,138.149994,139.389999,137.949997,138.679993,127.924553,3714700
12/29/2020,139.220001,139.940002,138.199997,138.419998,127.684723,5139300
12/30/2020,138.600006,138.919998,137.550003,137.770004,127.085152,3261400
12/31/2020,138.309998,139.289993,137.389999,139.139999,128.348877,4076400
1/4/2021,139.660004,139.860001,136.350006,137.820007,127.131279,8330900
1/5/2021,137.990005,138.919998,136.270004,138.699997,127.942993,6856400
1/6/2021,138.770004,141.039993,138.600006,140.160004,129.289825,10578000
1/7/2021,139.75,140.130005,138.039993,138.850006,128.081406,7355400
1/8/2021,138.470001,139.059998,137,138.789993,128.026031,7448500
1/11/2021,138.75,139.440002,137.600006,137.850006,127.158951,7239900
1/12/2021,137.850006,138.25,136.240005,137.050003,126.420967,6333500
1/13/2021,137.100006,138.070007,137.100006,137.259995,126.614693,6078800
1/14/2021,137.429993,137.649994,135.279999,135.800003,125.26796,6172800
1/15/2021,135.25,136.199997,134.660004,134.779999,124.327019,7757600
1/19/2021,135.699997,136.360001,133.559998,133.600006,123.238564,9184900
1/20/2021,132.529999,133.800003,131.259995,131.929993,121.698074,12506600
1/21/2021,130.649994,131.990005,130.509995,131.009995,121.578369,8761600
1/22/2021,131.020004,131.470001,129.990005,130,120.641075,7202800
1/25/2021,129.949997,133,129.899994,132.240005,122.719818,9640000
1/26/2021,132.25,133.470001,131.429993,133.089996,123.508606,5996700
1/27/2021,132.389999,133.100006,127.699997,128.380005,119.137695,10826700
1/28/2021,127.839996,131.649994,127.440002,130.360001,120.975151,8242000
1/29/2021,130.190002,130.289993,128.070007,128.210007,118.979935,8344100
2/1/2021,129,129.660004,128.199997,128.970001,119.685234,6534200
2/2/2021,129.600006,130.720001,128.690002,128.789993,119.518181,6825600
2/3/2021,128.949997,129.199997,127.75,128.949997,119.666664,7309400
2/4/2021,129.380005,129.460007,128.580002,129.029999,119.740913,6613700
2/5/2021,129.119995,130.100006,129.029999,129.570007,120.242035,5063700
2/8/2021,129.929993,130.100006,128.110001,129.169998,119.870819,7011200
2/9/2021,129.460007,129.940002,128.229996,128.669998,119.406799,5917800
2/10/2021,128.75,129.160004,127.959999,128.220001,118.98922,8594100
2/11/2021,128.539993,129.330002,128.210007,128.330002,119.091286,6139200
